State Name,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Other,Grand Total,total-charging-stations,Charging_Station_Share (%),Chargers per 1k EVs,EV_per_Station
Haryana,5749,55451.0,6468,1454.0,88.0,37.0,23.0,0.0,309.0,273507,269.0,1.9266843385600274,2.718732625573145,5588.829407415043
Tamil Nadu,26778,37460.0,3438,1787.0,592.0,21.0,4.0,26.0,438.0,7286,280.0,10.451523025187688,0.30511671650389943,3500.6434877279194
Jharkhand,27199,103920.0,5718,39.0,743.0,21.0,22.0,7.0,209.0,34911,202.0,15.686469676334598,1.664442211094433,6342.916027249386
Uttarakhand,32744,79182.0,4367,1803.0,883.0,47.0,12.0,34.0,479.0,139602,47.0,15.476429383299513,2.555136672461204,2923.798102219406
Karnataka,37223,4910.0,511,1771.0,401.0,19.0,24.0,11.0,456.0,243446,263.0,19.482748445630275,6.700791055153243,1314.6557128998104
Madhya Pradesh,37469,34661.0,2499,1483.0,558.0,6.0,0.0,15.0,353.0,116647,163.0,20.87468067881858,6.982156791438705,3636.8791605337747
Uttar Pradesh,46652,42923.0,538,237.0,505.0,13.0,9.0,30.0,280.0,240204,276.0,21.39235959875431,1.73799335857763,3791.8213502625326
Gujarat,49048,54705.0,3375,506.0,633.0,18.0,14.0,16.0,31.0,188262,174.0,22.0243004728708,3.2273372163678586,2618.6513326698096
Chhattisgarh,12607,50135.0,7175,1635.0,991.0,17.0,17.0,12.0,215.0,280752,122.0,12.425830002800188,6.013741251147986,5389.982022485669
Jharkhand,53347,32501.0,3030,1602.0,707.0,14.0,6.0,3.0,130.0,200505,240.0,16.760540351697912,0.5275443827305331,6030.2761720860935
Andhra Pradesh,38914,36916.0,7852,1830.0,328.0,33.0,17.0,2.0,444.0,6856,183.0,1.7494882693255076,1.8637965506026928,5206.243433251658
Andhra Pradesh,16850,1132.0,7930,1044.0,74.0,37.0,14.0,38.0,447.0,94834,94.0,10.264778748140952,3.5386656394067346,1415.8785435643194
Uttar Pradesh,31015,72910.0,3635,1139.0,255.0,19.0,5.0,35.0,175.0,133342,172.0,11.10738656180793,0.8640934207039044,6105.061156295445
Odisha,35611,88419.0,823,331.0,328.0,25.0,22.0,11.0,159.0,125845,235.0,1.9454169937000347,1.6097782261788376,2821.2793209826787
Karnataka,57102,62521.0,5926,1747.0,498.0,48.0,6.0,4.0,440.0,210287,137.0,5.016379209583047,6.569021790716844,3057.426939174577
Uttarakhand,52948,100172.0,2072,17.0,95.0,30.0,23.0,0.0,413.0,132078,44.0,5.537050192849776,1.2778638951099501,4329.37278107328
Maharashtra,55675,98760.0,7635,1456.0,517.0,39.0,3.0,37.0,66.0,11552,91.0,8.485692761637315,3.7570785299936746,7189.818502501223
Uttar Pradesh,14310,34224.0,1023,1194.0,733.0,44.0,27.0,33.0,231.0,262886,299.0,22.994723311890358,3.0314395686088162,2271.5080879590073
