State Name,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Other,Grand Total,total-charging-stations,Charging_Station_Share (%),Chargers per 1k EVs,EV_per_Station,State Population (millions),State Area (km²),Urbanization Rate (%),EV-Friendly Policy Score,EV Registrations (in thousands),Electricity Rate (Rs/unit),Smart Cities Count
Uttar Pradesh,6390,90681,9613,338.2,478.5,29,2,4,476,234548,611,8.95,8.108776,2216.709186,234.46,336113.15,57.16,3,862,5.52,4
Delhi,57121,19887,4225,489.0,55.7,1,4,4,1672,234330,307,2.42,1.789009,386.756138,193.8,182888.14,46.01,10,115,5.75,15
Karnataka,62888,16607,6840,345.9,410.8,24,2,9,1511,157080,607,15.28,7.167542,1274.199973,218.99,106344.86,72.76,6,824,6.24,14
Bihar,43315,68290,9838,488.3,76.2,20,6,7,1795,144246,863,8.12,6.631621,2091.784095,194.95,248671.26,82.38,7,154,8.45,18
Maharashtra,28668,78036,7678,387.0,355.8,2,1,8,1894,105042,254,17.23,6.381005,2287.753783,212.95,336874.84,80.32,2,314,6.34,12
Rajasthan,79855,50139,3500,129.9,48.1,19,3,2,624,220213,972,8.51,1.418986,1206.262519,229.94,149156.31,85.44,2,142,8.91,18
Tamil Nadu,21356,7448,8727,100.6,172.0,27,7,2,13,68004,166,17.55,7.506402,4227.688718,125.92,18880.59,48.27,5,839,8.99,19
Assam,9879,8217,2493,86.6,339.6,22,5,1,1366,33302,790,21.9,0.727714,2596.162437,188.57,77761.48,58.15,1,891,8.35,7
West Bengal,70233,91020,7949,14.5,409.2,19,3,4,1754,43593,268,15.64,7.41879,3621.890817,6.33,258972.78,34.72,3,489,7.73,12
Haryana,49305,93949,5787,170.2,189.6,0,5,0,888,152416,738,9.41,7.069754,2416.569851,39.69,53041.92,77.85,10,836,4.64,15
Uttarakhand,13790,60575,7101,104.2,36.1,5,0,2,445,275821,984,8.69,5.864435,3826.254731,59.66,243076.82,27.52,4,605,5.49,6
Gujarat,12087,107510,8500,172.2,46.4,14,3,4,1069,76874,766,11.45,5.949088,3664.48217,123.04,143075.65,29.26,7,226,3.79,4
Punjab,46582,38070,5591,417.8,152.9,19,1,7,76,297134,953,5.76,6.180631,1327.853602,97.53,327518.83,74.61,5,200,7.43,2
Kerala,28553,60458,4749,81.3,48.3,26,7,5,386,148374,262,10.46,1.47824,4097.768889,246.14,179642.03,89.49,10,720,5.63,10
Madhya Pradesh,1587,41432,2165,215.3,306.3,21,3,2,1698,199484,780,13.69,9.085442,2549.569488,10.93,101993.17,30.59,1,222,4.82,14
Chhattisgarh,56949,48909,6664,212.9,375.5,10,0,5,112,19920,454,8.57,0.468563,4057.779656,197.43,119134.28,67.48,1,246,4.13,16
Jharkhand,33911,7439,630,193.1,97.3,15,9,7,967,188662,259,10.45,6.056706,685.451352,192.99,63990.19,30.83,2,356,7.02,4
Odisha,57256,48284,6881,239.4,320.4,20,1,0,1268,120467,99,16.32,5.81929,3630.188375,101.21,75875.21,33.43,1,833,6.55,5
Telangana,51483,38769,2491,238.8,317.4,24,0,6,1666,296424,610,1.48,8.800907,4099.030793,156.86,24972.29,44.4,3,622,6.11,9
Andhra Pradesh,37447,83328,6089,140.2,36.9,4,3,1,1250,202013,383,18.37,9.302816,812.88947,34.48,76682.7,29.9,1,500,7.79,19
Uttar Pradesh,31820,93974,3227,3.5,359.9,21,3,7,773,224087,157,18.36,6.377884,2571.578178,35.6,315901.24,32.33,5,245,5.94,19
Delhi,4728,26290,7283,309.0,369.7,5,8,5,394,216045,875,6.68,4.862584,1196.347005,246.94,49414.11,81.44,6,840,4.94,9
Karnataka,38191,102347,163,6.6,498.4,28,6,6,1184,236822,256,24.37,9.350931,4401.035967,247.37,323888.84,62.21,6,493,8.15,1
Bihar,64699,98693,6218,377.3,265.8,27,2,2,1090,208063,913,13.0,5.236964,2731.134285,30.28,349165.18,41.2,2,93,6.27,6
Maharashtra,38593,47353,2543,414.8,319.1,15,1,9,154,205103,916,19.37,7.803555,2863.350548,213.68,292912.77,55.12,2,439,5.8,12
Rajasthan,70529,22447,1842,330.8,342.3,27,5,0,723,107890,243,3.12,8.015581,2872.740847,79.0,203361.9,89.65,4,983,4.73,11
Tamil Nadu,39522,9702,7317,367.1,356.3,3,8,6,158,182870,350,4.52,9.18502,4064.551165,37.71,44140.3,82.28,5,556,3.63,15
Assam,30040,109777,5011,88.1,386.5,11,5,4,726,16707,448,19.24,9.86773,3713.553141,199.22,60416.77,54.59,3,999,6.22,17
West Bengal,21338,89121,2305,219.3,474.4,20,8,7,757,41519,65,13.3,0.980922,1727.369441,141.82,223780.92,88.92,9,884,8.48,5
Haryana,54996,17291,4391,199.1,34.3,5,3,4,812,89008,505,22.13,7.544216,2102.08809,144.35,192812.63,47.4,10,626,5.31,18
Uttarakhand,52906,77793,8541,157.7,277.3,20,8,9,1262,126926,205,3.34,9.022139,2681.095883,171.9,227048.15,67.92,10,39,4.95,9
Gujarat,68704,19336,8560,234.2,263.2,25,8,5,954,93382,868,7.39,0.148567,3415.34367,181.47,95325.97,49.92,7,704,8.4,10
Punjab,35395,95463,8134,338.4,205.2,0,3,1,772,63514,966,12.44,1.310744,1010.518114,21.12,324243.81,44.28,10,615,3.99,2
Kerala,50372,32488,8635,392.4,317.6,18,5,3,791,92515,479,10.86,3.198722,734.337653,107.56,202082.92,68.69,3,492,6.09,4
Madhya Pradesh,71891,21728,1108,95.9,273.2,10,6,2,1513,281985,275,12.44,0.884568,2172.111836,244.74,44527.81,40.27,9,534,5.09,5
Chhattisgarh,21359,75190,8652,14.6,239.3,25,6,9,1719,175743,368,16.94,2.824613,1720.78815,174.73,107302.55,41.28,2,817,3.15,19
Jharkhand,41083,26916,3268,283.5,213.2,11,6,7,65,71904,271,14.64,1.161216,2256.604524,8.11,311529.05,86.26,10,174,6.12,12
Odisha,58651,87329,2365,317.6,322.7,14,5,5,1441,150506,758,17.94,9.702989,3763.839512,9.99,232230.78,61.03,4,345,5.61,14
Telangana,52887,94508,9565,200.4,284.9,18,7,8,972,273564,551,16.64,8.428088,2633.127859,126.74,294675.24,33.07,6,621,7.97,19
Andhra Pradesh,52465,47375,9673,148.6,437.1,12,4,3,650,172493,914,17.67,7.814263,1503.708403,62.53,54833.52,33.93,1,884,6.88,14
Uttar Pradesh,10228,52006,9495,336.3,95.7,23,4,3,1180,99013,200,18.55,4.806648,670.788541,5.24,155314.5,78.8,1,212,8.36,14
Delhi,53491,114850,4960,32.8,124.0,13,5,2,623,231497,761,17.11,3.470464,1979.838624,31.32,41038.3,27.77,9,479,5.4,15
